name,lat,lng,station_id,distance_m,address
Azme Nasi Lemak,1.3897,103.9878,changi-airport,3604,"Changi Village Hawker Centre, Singapore 509907"
89.7FM Supper Club,1.3889,103.9868,changi-airport,3519,"5 Changi Village Road, #01-2035, Singapore 500005"
Greenwood Fish Market,1.2477209,103.8419157,harbourfront,3038,"31 Ocean Way, #01 - 04/05, Singapore 098375"
Heng Heng Boneless Duck Rice,1.3187464,103.6290285,tuas-west-road,1749,"47 Tuas South Ave 1, iEat Canteen, Singapore 637328"
8889 Ji Gong Bao,1.3781167,103.8755114,fernvale,1535,"133 Ang Mo Kio Avenue 3, #01-1635, Singapore 560133"
Chingu @ The Oval,1.4081511,103.8665335,thanggam,1508,"7 The Oval, Singapore 797865"
Kazutake Ramen (Kensington),1.3651,103.8661,lorong-chuan,1485,"11 Kensington Park Road, Singapore 557263"
Soi Thai Kitchen,1.3644103,103.8656195,lorong-chuan,1401,"58 Serangoon Garden Way, Singapore 555954"
Crispy Wings! Western Delights,1.4249828,103.8460675,yishun,1330,"414 Yishun Ring Rd #01-1871, Singapore 760414"
The Only Burger,1.3612714,103.9376586,tampines,1189,"602B Tampines Ave 9, #01-01 Happy Hawkers, Singapore 522602"
Baan Kai Khon,1.3656592,103.941475,pasir-ris,1185,"633 Tampines North Dr 2, #02-01, Singapore 520633"
Munchi Pancakes,1.425085,103.8446309,yishun,1184,"51 Yishun Ave 11, #01-43, Singapore 768867"
Pong Cheer Cheer,1.3596196,103.8951265,kovan,1116,"4 Defu Lane 10, Singapore 539185"
Sin Kee Seafood Soup,1.4428334,103.7771673,woodlands-north,1112,"19 Marsiling Ln, #01-329, Singapore 730019"
Hong Ji Claypot Herbal Bak Kut Teh,1.4428334,103.7771673,woodlands-north,1112,"19 Marsiling Ln, #01-329, Singapore 730019"
168 Neapolitan Style Pizza,1.3346178,103.7213822,lakeside,1073,"3 Yung Sheng Rd, #03-168, Singapore 618499"
Kokoyo Nyonya Delights,1.3175779,103.7858566,dover,1067,"263 Serangoon Central Dr, #01-43, Singapore 550263"
Ah Hua Teo Chew Noodle,1.3125,103.7558,clementi,1060,"415 Pandan Gardens, Singapore 600415"
33 Vegetarian Food,1.3626885,103.8554935,ang-mo-kio,1043,"409 Ang Mo Kio Ave 10, #01-33, Singapore 560409"
B.B.Q Seafood,1.3349135,103.7215864,lakeside,1042,"3 Yung Sheng Rd, #03-178, Singapore 618499"
The French Ladle,1.320433,103.7789611,dover,1016,"2 Pandan Valley, #01-206, Singapore 597626"
